Function,Type,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
F20:Hybrid6 (N=6),Hybrid,Mean,4.1264e+06,3.4784e+06,5.7015e+07,7.0671e+07,2.6310e+08,1.0608e+07,1.2223e+07,7.1804e+05,2.7097e+07,2.7102e+07,4.8895e+08,3.5215e+09,3.7644e+07
,,Std,2.4402e+06,2.4779e+06,8.6602e+07,6.8760e+07,9.2002e+07,7.8898e+06,9.5836e+06,7.2881e+05,1.6761e+07,1.5692e+07,5.9277e+08,1.6082e+09,1.4807e+07
F21:Composition1 (N=3),Composition,Mean,7.7633e+09,2.9899e+10,7.7974e+10,6.9628e+10,2.1806e+11,4.8916e+10,1.4615e+10,1.1667e+09,7.0749e+10,4.2555e+09,5.4789e+11,8.4984e+11,3.4021e+10
,,Std,4.0104e+10,7.6277e+10,4.6723e+10,7.8023e+10,4.1841e+10,4.1747e+10,5.5572e+10,2.4537e+09,9.5741e+10,1.5587e+09,1.5007e+11,7.4835e+10,4.7764e+09
F22:Composition2 (N=3),Composition,Mean,5.1986e+08,8.4476e+09,7.8369e+10,5.6941e+10,2.2208e+11,5.4525e+10,7.8906e+09,1.1950e+09,5.0276e+10,4.2705e+09,5.4908e+11,8.2261e+11,4.5948e+10
,,Std,1.6487e+08,4.3127e+10,4.5503e+10,5.6621e+10,5.4992e+10,3.4210e+10,4.3149e+10,1.6780e+09,8.6258e+10,1.5619e+09,1.4205e+11,7.5741e+10,3.8413e+10
F23:Composition3 (N=4),Composition,Mean,6.7220e+15,1.6905e+16,1.6010e+16,1.6020e+16,5.9341e+15,6.2648e+15,9.4657e+15,7.0985e+15,3.2487e+16,1.2739e+16,6.0968e+16,1.0700e+17,5.6448e+15
,,Std,6.6830e+14,6.4752e+15,3.4793e+15,4.3931e+15,2.5468e+14,4.8312e+14,1.7255e+15,1.0043e+15,1.2481e+16,1.0571e+15,2.8180e+16,6.3492e+16,6.8157e+13
F24:Composition4 (N=4),Composition,Mean,7.3010e+15,1.5081e+16,1.5733e+16,1.4427e+16,6.2508e+15,6.5718e+15,9.2702e+15,7.1516e+15,2.4804e+16,1.4866e+16,4.6084e+16,8.8292e+16,5.8770e+15
,,Std,1.1073e+15,5.3353e+15,3.6170e+15,3.2420e+15,3.9508e+14,4.0097e+14,1.4426e+15,7.0412e+14,7.6006e+15,2.5407e+15,1.8066e+16,4.7161e+16,1.2698e+14
F25:Composition5 (N=5),Composition,Mean,3.8906e+23,6.5296e+23,7.4188e+27,3.1346e+27,3.9181e+28,1.3693e+27,1.1548e+20,1.6156e+25,2.7341e+27,2.2873e+26,1.8024e+29,3.0016e+29,2.4515e+27
,,Std,2.8373e+23,5.9943e+23,9.6647e+27,3.5417e+27,2.1729e+28,1.2429e+27,6.7633e+19,5.7831e+25,5.0382e+27,3.3378e+26,1.0363e+29,6.4432e+28,8.7203e+26
F26:Composition6 (N=5),Composition,Mean,3.4279e+23,5.4946e+23,5.4864e+27,2.9946e+27,4.2510e+28,1.0898e+27,1.0525e+20,8.6236e+25,3.5474e+27,6.4129e+25,1.9926e+29,2.6815e+29,2.2125e+27
,,Std,3.0531e+23,3.1428e+23,4.7376e+27,4.0630e+27,1.5980e+28,1.0710e+27,6.8106e+19,4.4325e+26,5.5222e+27,6.4960e+25,1.1471e+29,5.1503e+28,5.8864e+26
F27:Composition7 (N=6),Composition,Mean,6.4323e+10,3.6725e+10,1.5879e+11,1.5170e+11,1.1137e+11,9.8797e+10,1.2962e+11,1.0726e+11,1.9914e+11,1.5012e+11,2.7735e+11,2.7045e+11,1.0852e+11
,,Std,4.7609e+10,2.9849e+10,1.4319e+10,1.6621e+10,1.9791e+09,2.7662e+10,7.8525e+09,2.7804e+10,2.9142e+10,3.4614e+09,6.6353e+10,5.0752e+10,6.3376e+08
F28:Composition8 (N=3),Composition,Mean,1.4440e+10,2.1468e+10,1.9002e+11,1.8924e+11,1.3258e+11,1.0386e+11,1.5504e+11,1.1125e+11,2.1347e+11,1.8350e+11,3.2019e+11,3.0066e+11,1.2905e+11
,,Std,2.5117e+10,4.4521e+10,3.2676e+10,2.1433e+10,2.7436e+09,4.7055e+10,1.0407e+10,4.9620e+10,5.7160e+10,5.3632e+09,6.8785e+10,5.3696e+10,1.9064e+09
F29:Composition9 (N=3),Composition,Mean,2.3840e+09,5.2773e+09,1.4295e+10,1.5155e+10,5.3439e+09,5.1746e+09,8.6356e+09,8.0448e+09,2.5560e+10,1.4798e+10,5.4480e+10,9.6346e+10,4.8404e+09
,,Std,3.5455e+09,7.4251e+09,3.5616e+09,4.4535e+09,6.2204e+08,9.8399e+08,2.6034e+09,2.4962e+09,9.3078e+09,3.7318e+09,3.1465e+10,4.1563e+10,1.2531e+08
F30:Composition10 (N=3),Composition,Mean,1.2787e+04,2.3795e+04,3.8523e+04,3.6675e+04,4.1701e+04,1.8821e+04,3.7252e+04,1.3609e+04,4.0718e+04,3.7510e+04,6.9067e+04,6.6857e+04,3.8006e+04
,,Std,1.7865e+04,1.8213e+04,4.9292e+03,9.0375e+03,8.2684e+02,1.3203e+04,4.8499e+01,1.9655e+04,9.2015e+03,7.5373e+01,6.3693e+03,3.9807e+03,1.1889e+02
