Image,K,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
,,PSNR(mean),23.2255,23.2226,23.2168,23.2244,23.1950,23.2242,22.8050,23.2231,23.2199,23.1701,20.8086,23.1683,23.2176
,,SSIM(mean),0.8361,0.8365,0.8361,0.8362,0.8358,0.8360,0.8094,0.8364,0.8363,0.8346,0.6973,0.8351,0.8363
Fluorescence Microscopy,K=7,Entropy(mean),23.8396,23.8371,23.8170,23.8211,23.6058,23.8401,23.8334,23.8238,23.8186,23.4921,23.6913,23.6924,23.7819
,,Entropy(std),0.0010,0.0167,0.0645,0.0381,0.0818,0.0002,0.0238,0.0223,0.0399,0.1202,0.1460,0.1191,0.0231
,,PSNR(mean),22.7145,22.4993,22.5650,21.7059,22.3261,22.7220,22.3519,22.6890,21.4739,21.0281,21.0814,21.2332,22.6727
,,SSIM(mean),0.7343,0.7349,0.7344,0.7378,0.7350,0.7342,0.7358,0.7349,0.7386,0.7343,0.7227,0.7409,0.7362
Fluorescence Microscopy,K=10,Entropy(mean),30.8719,30.8814,30.7997,30.8278,30.2532,30.8746,30.8737,30.7265,30.8440,30.1039,30.6135,30.5433,30.6999
,,Entropy(std),0.0120,0.0123,0.1544,0.0938,0.1592,0.0359,0.0562,0.0922,0.1190,0.2143,0.2697,0.2838,0.0610
,,PSNR(mean),19.1421,19.5016,19.8506,21.2763,20.4181,19.7212,19.2483,19.7937,19.9840,19.3935,19.9462,20.9555,19.3789
,,SSIM(mean),0.6773,0.6806,0.6819,0.7086,0.6916,0.6812,0.6793,0.6822,0.6887,0.6777,0.6907,0.6991,0.6764
Tissue Microscopy,K=3,Entropy(mean),12.7589,12.7589,12.7589,12.7589,12.7589,12.7589,12.7589,12.7589,12.7589,12.7589,12.7588,12.7588,12.7589
,,Entropy(std),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0001,0.0000
,,PSNR(mean),15.9187,15.9187,15.9187,15.9187,15.9187,15.9187,15.9187,15.9187,15.9187,15.9286,15.9148,15.9182,15.9187
,,SSIM(mean),0.6813,0.6813,0.6813,0.6813,0.6813,0.6813,0.6813,0.6813,0.6813,0.6816,0.6812,0.6813,0.6813
Tissue Microscopy,K=5,Entropy(mean),19.2204,19.2204,19.2201,19.2204,19.2169,19.2204,19.2204,19.2203,19.2204,19.1992,19.2195,19.2174,19.2195
,,Entropy(std),0.0000,0.0000,0.0011,0.0000,0.0031,0.0000,0.0000,0.0005,0.0000,0.0114,0.0019,0.0040,0.0007
,,PSNR(mean),21.7417,21.7417,21.7231,21.7417,21.5826,21.7417,21.7417,21.7035,21.7417,21.5437,21.7355,21.5069,21.7229
,,SSIM(mean),0.8681,0.8681,0.8680,0.8681,0.8666,0.8681,0.8681,0.8676,0.8681,0.8651,0.8680,0.8662,0.8678
Tissue Microscopy,K=7,Entropy(mean),24.9099,24.9102,24.8947,24.9097,24.7978,24.9097,24.9101,24.9011,24.9103,24.7505,24.8964,24.8897,24.8900
,,Entropy(std),0.0005,0.0005,0.0312,0.0008,0.0443,0.0008,0.0004,0.0095,0.0000,0.0585,0.0174,0.0240,0.0093
,,PSNR(mean),24.5146,24.5682,24.3275,24.5308,23.5079,24.5315,24.5192,24.3418,24.5827,23.6466,24.1668,24.1921,24.0808
,,SSIM(mean),0.9246,0.9246,0.9232,0.9247,0.9164,0.9247,0.9244,0.9239,0.9246,0.9157,0.9227,0.9227,0.9221
Tissue Microscopy,K=10,Entropy(mean),32.3885,32.3908,32.2936,32.3820,31.8579,32.3867,32.3920,32.2205,32.3922,31.7870,32.2477,32.2388,32.2458
,,Entropy(std),0.0042,0.0034,0.1476,0.0145,0.1448,0.0086,0.0014,0.0930,0.0018,0.1505,0.1362,0.1122,0.0439
,,PSNR(mean),26.9996,26.9633,26.4062,27.1383,24.9612,27.1234,27.2695,25.2148,27.1933,23.6351,25.2265,25.6743,26.1995
,,SSIM(mean),0.9583,0.9582,0.9525,0.9587,0.9400,0.9588,0.9588,0.9488,0.9586,0.9307,0.9471,0.9500,0.9528

Friedman Rank,,,2.55,4.30,5.80,4.75,8.75,3.25,7.30,6.00,7.05,11.20,11.20,10.65,8.20
